what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024384618
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024493635
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024515068
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024597143
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024606152
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024634955
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024648572
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024813019
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351024946892
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1351024957878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351024997474
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351025031510
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351025034489
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1351025045515
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351025202429
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1351025224543
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351025251116
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351025481738
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351025500827
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351025544315
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351025584059
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351025665295
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351025811322
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351027964312
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351027966259
