what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_22",1350334875506
java.vm.info,sysinfo,,,"mixed mode",1350334875506
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1350334875506
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350334875506
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350334875506
java.vm.specification.version,sysinfo,,,"1.0",1350334875506
java.vm.vendor,sysinfo,,,"Apple Inc.",1350334875506
java.vm.version,sysinfo,,,"17.1-b03-307",1350334875506
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350334878623
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350334878630
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1350334879773
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1350334879778
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1350334879841
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1350334879921
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1350334879952
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1350334880025
opened,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1350334880126
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1350334880217
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350334889383
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1350334889771
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1350334889771
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1350334889772
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1350334889772
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1350334889773
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1350334889773
