what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351423722893
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351423836730
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351424612583
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351424619244
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351424623100
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351424665192
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351424667308
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351424670743
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1351424674886
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351424678291
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351424678901
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351424679354
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351424690361
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351424691797
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351424704392
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351425129647
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1351425140103
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351425165229
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351425165628
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351425166099
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351425174762
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351425176196
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351425184220
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351425222035
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351425229183
