what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123715274
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123717153
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123718221
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1352123730304
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123731723
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123752442
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123762703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123764854
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123782479
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352123823953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123829985
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123859409
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123861230
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123862924
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123863371
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123895997
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352123902813
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352147993512
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.AllMarkersView",1352147997030
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352148000278
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352148143788
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1352148145493
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352148178159
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352148198764
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352148199232
