what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022342216
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022344506
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351022344696
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022349321
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022352756
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022365353
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022365919
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022382512
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022384527
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022385084
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351022394024
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022401407
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022404711
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351022495067
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351022495470
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351022519781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022541623
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022541862
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022542027
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022542502
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022542814
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022543035
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022543254
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022543454
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1351022543954
